id,title,genres,plot,runtime,year
1,The Easy Laugh,Comedy|Family,"A light, feel-good comedy about a small-town talent show.",92,2019
2,Rush of Night,Thriller|Crime,"A tense crime thriller following a detective on his last case.",108,2021
3,Hearts in Bloom,Romance|Drama,"Two strangers reconnect while restoring a community garden.",104,2020
4,Up & Away,Adventure|Music,"A lively adventure with a traveling band chasing a dream.",95,2018
5,Quiet Skies,Drama|Indie,"A calming, reflective story about finding balance in busy life.",88,2022
6,Short & Sweet,Comedy|Romance,"A breezy rom-com with quick wit and big heart.",87,2017
7,Edge of Echoes,Thriller|Sci-Fi,"A mind-bending mystery with high stakes and twists.",112,2023
8,Sunset Serenade,Music|Romance,"A music-filled romance set across summer festivals.",99,2016
9,Family Game Night,Family|Comedy,"Chaotic family board-game night turns into bonding.",90,2015
10,Deep Thoughts,Drama|Documentary,"Thoughtful vignettes exploring lifeâ€™s big questions.",83,2014
